moment;plat
s;Pdt viennoises
s;Tartines savoyardes
m;Lasagnes viande
m;Wok tomaté
s;Pizza chorizo
m;Galettes Fajitas chaudes
ms;Légumes au four, chorizo
m;Pdt, carottes en rondelles
m;Semoule épicée, légumes divers
m;Gratin dauphinois
m;Poulet, légumes sauce curry vert et lait coco
s;Briochettes, tomates, mozzarella
m;Roti cheval, frites
s;Tartines pizza
s;Feuilletés au fromage
m;Filet mignon sauce maroilles
s;Crêpes, raclette, tranches lard
s;Tarte tomates et cantal
m;Risotto, 3 poivrons, chorizo
m;Spaguettis bolognaise
s;Faluche gratinées
s;Tartines au grill
m;Pdt, cheddar, jambon, poivrons gratinés
m;Paupiettes, sauce tomate
sm;Taboulé maison
m;Pates carbonara
ms;Salade fraîcheur
m;Chou vert, poitrine fumée
m;Mijoté de sauté de porc
m;Raclette
m;Burger raclette (messenger Claire)
m;Poulet au maroilles
ms;Wok de légumes recette Marmiton
ms;Buddha bowl
ms;Tian de courgettes, jambon et comté
s;Risotto champignons
s;Tartines pdt lard fromage reblochon ou comté
ms;Wraps thon mayo, carottes, salade...
ms;Wraps jambon, crudités
ms;Galettes Pdt au comté
m;Feuilletés saucisses
m;Lasagnes légumes
m;Wok sauce curry
s;Pizza fromage
m;Gratin pdt reblochon
m;gratin de légumes au fromage
m;Hachis parmentier boeuf et purée potimarron
s;Flammenkuche
s;Flamiche poireaux
m;Endives au jambon
ms;Hot dog
m;Cassoulet
m;Chili pour Gilles
ms;Œufs nid de tomates
s;Tarte courgettes
m;Hachis parmentier
s;Croissants jambon
m;Pdt au parmesan
s;Quiche Lorraine ig bas
m;Roti porc paysanne
m;Ragout poireaux pdt
m;Couscous légumes
m;Purée de divers légumes
s;Gougère fromage
m;Porc au Paprika
s;Muffins au lardons
ms;Ratatouille
m;Roti porc Orloff
m;Galette des Aravis
m;Pdt grenailles, chorizo
s;tarte courgettes et chèvre frais
m;Coquille poireaux st jacques
ms;Salade concombres, tomates, oignons rouges, feta, melon, basilic
m;Filet de poulet, riz curry
s;Tartines avocat crevettes salade
ms;Croquettes de pdt et cheddar
ms;Nouilles chinoises aux légumes et épices
s;Cake, chorizo, poivron, tomates 
s;Tomates farcies
s;Quiche mimolette, champignons
m;Pâtes sauce courgettes
m;Poulet sauce provençale
s;Tarte au Maroilles
s;Soupe potiron, carottes, gingembre
s;Soupe potimarron
s;Soupe poireaux, pdt
s;Soupe à la tomate
s;Soupe aux courgettes
s;Soupe légumes variés
s;Velouté de carottes
s;Soupe façon endives au gratin
m;Crêpes de veau haché, champignons
ms;Gratin de courgettes
m;Poulet sauté au citron (facile p.49)
m;Coquilles st jacques, crevettes, champignons
m;Lentilles bolo chorizo
ms;Salade lentilles et lardons
m;filet mignon au comté et au lard
s;cake au reblochon
s;Soupe de lentilles corail
m;Pates à la charbonnières
ms;tartines créme, moutarde, lardons, champignons et fromage
ms;Salade piémontaise
s;Croque exotique
m;Gratin pdt,chou-fleur
ms;Salade César
m;Filet mignon, tranches lard, champignons
s;Croustades champignons
s;Briochettes à la crème
s;Cake courgettes et Feta
m;Poulet au curry, lait de coco
s;Velouté carottes, patates douces
ms;Curry de lentilles aux carottes
ms;Frites de patates douces aux épices
ms;Dahl de lentilles corail
ms;Brushetta pesto, tomates et mozza
